Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Data,0,file_id,type,"4",,manufacturer,"255",,product,"1",,time_created,"1153661083",,
Definition,0,activity,timestamp,1,,local_timestamp,1,,,,,,,,
Data,0,activity,timestamp,"1153661083",,local_timestamp,"1153686283",,,,,,,,
Definition,0,session,sport,1,,sub_sport,1,,total_elapsed_time,1,,total_distance,1,,total_calories,1,,start_time,1,,avg_heart_rate,1,,
Data,0,session,sport,"62",,sub_sport,"70",,total_elapsed_time,"2354.0",s,total_distance,"0.0",m,total_calories,"166",kcal,start_time,"1153634410",,avg_heart_rate,"95",bpm,
Definition,0,record,timestamp,1,,heart_rate,1,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
Data,0,record,timestamp,"1153634410",s,,,,,,,,,,,,,,,,,,,
